"Story","Title","Result","Date","Stability","Duration (s)"
"Kelola jadwal - admin","As a admin i want to view Manage Schedule","SUCCESS","2022-06-23T20:28:06.2730077+07:00[Asia/Bangkok]","0.0","48.89"
"Add Data Dokter - Admin","As a admin i want to add data dokter","SUCCESS","2022-06-23T20:28:58.8205582+07:00[Asia/Bangkok]","0.0","108.28"
"Add Data Pasien - Admin","As a admin i want to add data pasien","SUCCESS","2022-06-23T20:30:47.1544763+07:00[Asia/Bangkok]","0.0","149.91"
"Add Data Pasien - Admin","As a admin i want to add data pasien but not gander","SUCCESS","2022-06-23T20:33:17.126505+07:00[Asia/Bangkok]","0.0","31.97"
"Delete Data Dokter - Admin","As a admin i want to delete data dokter","SUCCESS","2022-06-23T20:33:49.1431223+07:00[Asia/Bangkok]","0.0","9.83"
"Delete Data Pasien - Admin","As a admin i want to delete data pasien","SUCCESS","2022-06-23T20:34:00.1738036+07:00[Asia/Bangkok]","0.0","12.09"
"Detail Data Dokter - Admin","As a admin i want to detail data dokter","SUCCESS","2022-06-23T20:34:14.2508744+07:00[Asia/Bangkok]","0.0","20.19"
"Detail Data Pasien - Admin","As a admin i want to detail data pasien","SUCCESS","2022-06-23T20:34:38.930235+07:00[Asia/Bangkok]","0.0","17.27"
"Edit Data Dokter - Admin","As a admin i want to edit data dokter","SUCCESS","2022-06-23T20:34:58.2679555+07:00[Asia/Bangkok]","0.0","201.56"
"Edit Data Pasien - Admin","As a admin i want to edit data pasien","SUCCESS","2022-06-23T20:38:19.8747998+07:00[Asia/Bangkok]","0.0","156.91"
"Search Data Dokter - Admin","As a admin i want to delete data dokter","SUCCESS","2022-06-23T20:40:56.8484182+07:00[Asia/Bangkok]","0.0","13.36"
"Search Data Pasien - Admin","As a admin i want to delete data pasien","SUCCESS","2022-06-23T20:41:10.2604222+07:00[Asia/Bangkok]","0.0","9.8"
"View Data Dokter - Admin","As a admin i want to view data dokter","SUCCESS","2022-06-23T20:41:22.4884186+07:00[Asia/Bangkok]","0.0","8.99"
"View Data Pasien - Admin","As a admin i want to view data pasien","SUCCESS","2022-06-23T20:41:33.6527483+07:00[Asia/Bangkok]","0.0","8.96"
