"Story","Title","Result","Date","Stability","Duration (s)"
"Login - Admin","As a admin I login - kosong","SUCCESS","2022-07-16T12:20:03.6483031+07:00[Asia/Bangkok]","0.0","34.49"
"Login - Admin","As a admin I login - invalid","SUCCESS","2022-07-16T12:20:38.176839+07:00[Asia/Bangkok]","0.0","42.31"
"Login - Admin","As a admin I login - Valid","SUCCESS","2022-07-16T12:21:20.4997008+07:00[Asia/Bangkok]","0.0","17.08"
"LogOut Acount - Admin","As a admin I  Logout - Yes","SUCCESS","2022-07-16T12:21:37.6069287+07:00[Asia/Bangkok]","0.0","32.04"
"LogOut Acount - Admin","As a admin I Logout - No","SUCCESS","2022-07-16T12:22:09.657879+07:00[Asia/Bangkok]","0.0","29.29"
"Add Data Dokter - Admin","As a admin i want to add data dokter - Valid","SUCCESS","2022-07-16T12:22:38.964766+07:00[Asia/Bangkok]","0.0","38.47"
"Add Data Pasien - Admin","As a admin i want to add data pasien (JK Laki-Laki) - Valid","SUCCESS","2022-07-16T12:28:46.5308677+07:00[Asia/Bangkok]","0.0","33.81"
"Add Kelola Jadwal - Admin","As a admin i want to Add Manage Schedule Rawat Jalan","SUCCESS","2022-07-16T12:34:52.8511881+07:00[Asia/Bangkok]","0.0","48.33"
"Add Kelola Jadwal - Admin","As a admin i want to Add Manage Schedule Rawat Biasa - tidak ada perawat","SUCCESS","2022-07-16T12:36:30.7674858+07:00[Asia/Bangkok]","0.0","36.68"
"Add Kelola Jadwal - Admin","As a admin i want to Add Manage Schedule Rawat Biasa - tidak ada perawat & tanggal","SUCCESS","2022-07-16T12:37:07.4529982+07:00[Asia/Bangkok]","0.0","36.51"
"Delete Data Dokter - Admin","As a admin i want to delete data dokter - No","SUCCESS","2022-07-16T12:37:43.9781309+07:00[Asia/Bangkok]","0.0","30.57"
"Delete Data Dokter - Admin","As a admin i want to delete data dokter - Yes","SUCCESS","2022-07-16T12:38:14.5553369+07:00[Asia/Bangkok]","0.0","30.76"
"Delete Data Pasien - Admin","As a admin i want to delete data pasien - No","SUCCESS","2022-07-16T12:38:45.325245+07:00[Asia/Bangkok]","0.0","28.57"
"Delete Data Pasien - Admin","As a admin i want to delete data pasien - Yes","SUCCESS","2022-07-16T12:39:13.90165+07:00[Asia/Bangkok]","0.0","28.94"
"Detail Data Dokter - Admin","As a admin i want to detail data dokter","SUCCESS","2022-07-16T12:39:42.8471452+07:00[Asia/Bangkok]","0.0","25.66"
"Detail Data Pasien - Admin","As a admin i want to detail data pasien","SUCCESS","2022-07-16T12:40:08.515127+07:00[Asia/Bangkok]","0.0","23.92"
"Edit Data Pasien - Admin","As a admin i want to edit data pasien (JK Perempuan) - Valid","SUCCESS","2022-07-16T12:45:00.0084549+07:00[Asia/Bangkok]","0.0","39.94"
"Edit Data Pasien - Admin","As a admin i want to edit data pasien (JK Perempuan) - Invalid","SUCCESS","2022-07-16T12:45:39.9550973+07:00[Asia/Bangkok]","0.0","175.08"
"Search Arsip Jadwal - Admin","As a admin i want to search archive","SUCCESS","2022-07-16T12:48:35.0632513+07:00[Asia/Bangkok]","0.0","60.57"
"Search Data Pasien - Admin","As a admin i want to search data pasien","SUCCESS","2022-07-16T12:50:36.0456701+07:00[Asia/Bangkok]","0.0","61.35"
"Search Kelola Jadwal - Admin","As a admin i want to search manage schedule","SUCCESS","2022-07-16T12:51:37.4081486+07:00[Asia/Bangkok]","0.0","57.47"
"View Arsip Jadwal - Admin","As a admin i want to View archive","SUCCESS","2022-07-16T12:52:34.9032122+07:00[Asia/Bangkok]","0.0","21.95"
"View Data Dokter - Admin","As a admin i want to view data dokter","SUCCESS","2022-07-16T12:52:56.8688916+07:00[Asia/Bangkok]","0.0","22.28"
"View Data Pasien - Admin","As a admin i want to view data pasien","SUCCESS","2022-07-16T12:53:19.1631137+07:00[Asia/Bangkok]","0.0","20.17"
