"Story","Title","Result","Date","Stability","Duration (s)"
"Login - Admin","As a admin I login - kosong","SUCCESS","2022-07-16T12:20:03.6483031+07:00[Asia/Bangkok]","0.0","34.49"
"Login - Admin","As a admin I login - invalid","SUCCESS","2022-07-16T12:20:38.176839+07:00[Asia/Bangkok]","0.0","42.31"
"Login - Admin","As a admin I login - Valid","SUCCESS","2022-07-16T12:21:20.4997008+07:00[Asia/Bangkok]","0.0","17.08"
"LogOut Acount - Admin","As a admin I Logout - No","SUCCESS","2022-07-16T12:22:09.657879+07:00[Asia/Bangkok]","0.0","29.29"
"Delete Data Pasien - Admin","As a admin i want to delete data pasien - No","SUCCESS","2022-07-16T12:38:45.325245+07:00[Asia/Bangkok]","0.0","28.57"
"Delete Data Pasien - Admin","As a admin i want to delete data pasien - Yes","SUCCESS","2022-07-16T12:39:13.90165+07:00[Asia/Bangkok]","0.0","28.94"
"Detail Data Dokter - Admin","As a admin i want to detail data dokter","SUCCESS","2022-07-16T12:39:42.8471452+07:00[Asia/Bangkok]","0.0","25.66"
"Detail Data Pasien - Admin","As a admin i want to detail data pasien","SUCCESS","2022-07-16T12:40:08.515127+07:00[Asia/Bangkok]","0.0","23.92"
"Search Arsip Jadwal - Admin","As a admin i want to search archive","SUCCESS","2022-07-16T12:48:35.0632513+07:00[Asia/Bangkok]","0.0","60.57"
"Search Kelola Jadwal - Admin","As a admin i want to search manage schedule","SUCCESS","2022-07-16T12:51:37.4081486+07:00[Asia/Bangkok]","0.0","57.47"
"View Arsip Jadwal - Admin","As a admin i want to View archive","SUCCESS","2022-07-16T12:52:34.9032122+07:00[Asia/Bangkok]","0.0","21.95"
"View Data Dokter - Admin","As a admin i want to view data dokter","SUCCESS","2022-07-16T12:52:56.8688916+07:00[Asia/Bangkok]","0.0","22.28"
"View Data Pasien - Admin","As a admin i want to view data pasien","SUCCESS","2022-07-16T12:53:19.1631137+07:00[Asia/Bangkok]","0.0","20.17"
