"Story","Title","Result","Date","Stability","Duration (s)"
"Add Data Dokter - Admin","As a admin i want to add data dokter - Kosong","FAILURE","2022-07-16T12:23:17.4592559+07:00[Asia/Bangkok]","0.0","176.46"
"Add Data Dokter - Admin","As a admin i want to add data dokter - Invalid","FAILURE","2022-07-16T12:26:13.9231746+07:00[Asia/Bangkok]","0.0","152.6"
"Add Data Pasien - Admin","As a admin i want to add data pasien (JK Laki-Laki) - Valid not Gender","FAILURE","2022-07-16T12:29:20.343916+07:00[Asia/Bangkok]","0.0","23.46"
"Add Data Pasien - Admin","As a admin i want to add data pasien (JK Laki-Laki) - Kosong","FAILURE","2022-07-16T12:29:43.8066881+07:00[Asia/Bangkok]","0.0","170.09"
"Add Data Pasien - Admin","As a admin i want to add data pasien (JK Laki-Laki) - Invalid","FAILURE","2022-07-16T12:32:33.9057096+07:00[Asia/Bangkok]","0.0","138.93"
"Add Kelola Jadwal - Admin","As a admin i want to Add Manage Schedule Rawat Biasa","ERROR","2022-07-16T12:35:41.1923957+07:00[Asia/Bangkok]","0.0","4.2"
"Add Kelola Jadwal - Admin","As a admin i want to Add Manage Schedule Rawat Biasa - tidak ada tanggal","FAILURE","2022-07-16T12:35:45.3969286+07:00[Asia/Bangkok]","0.0","45.34"
"Detail Review Arsip Jadwal - Admin","As a admin i want to Review archive","FAILURE","2022-07-16T12:40:32.4465223+07:00[Asia/Bangkok]","0.0","28.41"
"Edit Data Dokter - Admin","As a admin i want to edit data dokter - Valid","ERROR","2022-07-16T12:41:00.8758069+07:00[Asia/Bangkok]","0.0","33.03"
"Edit Data Dokter - Admin","As a admin i want to edit data dokter - Invalid","ERROR","2022-07-16T12:41:33.9409739+07:00[Asia/Bangkok]","0.0","206.06"
"Search Data Dokter - Admin","As a admin i want to delete data dokter","FAILURE","2022-07-16T12:49:35.6472869+07:00[Asia/Bangkok]","0.0","60.38"
"View Kelola Jadwal - Admin","As a admin i want to View Manage Schedule","FAILURE","2022-07-16T12:53:39.3380689+07:00[Asia/Bangkok]","0.0","23.2"
