"Story","Title","Result","Date","Stability","Duration (s)"
"Data Dokter Admin","As a admin i want to view data dokter","SUCCESS","2022-07-18T10:00:55.945603+07:00[Asia/Bangkok]","0.0","44.32"
"Data Dokter Admin","As a admin i want to detail data dokter","SUCCESS","2022-07-18T10:01:40.4365376+07:00[Asia/Bangkok]","0.0","32.14"
"Data Dokter Admin","As a admin i want to add data dokter - Valid","SUCCESS","2022-07-18T10:02:12.5888452+07:00[Asia/Bangkok]","0.0","50.85"
"Data Dokter Admin","As a admin i want to add data dokter - Kosong","ERROR","2022-07-18T10:03:03.5109306+07:00[Asia/Bangkok]","0.0","193.03"
"Data Dokter Admin","As a admin i want to add data dokter - Invalid","SUCCESS","2022-07-18T10:06:16.572974+07:00[Asia/Bangkok]","0.0","185.94"
"Data Dokter Admin","As a admin i want to edit data dokter - Valid","SUCCESS","2022-07-18T10:09:22.5525794+07:00[Asia/Bangkok]","0.0","46.9"
"Data Dokter Admin","As a admin i want to edit data dokter - Invalid","SUCCESS","2022-07-18T10:10:09.4762102+07:00[Asia/Bangkok]","0.0","304.48"
"Data Dokter Admin","As a admin i want to delete data dokter - No","SUCCESS","2022-07-18T10:15:13.9722186+07:00[Asia/Bangkok]","0.0","33.62"
"Data Dokter Admin","As a admin i want to delete data dokter - Yes","ERROR","2022-07-18T10:15:47.6072699+07:00[Asia/Bangkok]","0.0","31.63"
"Data Dokter Admin","As a admin i want to delete data dokter","SUCCESS","2022-07-18T10:16:19.2729325+07:00[Asia/Bangkok]","0.0","72.4"
