"Story","Title","Result","Date","Stability","Duration (s)"
"Login - Admin","As a admin I login - kosong","SUCCESS","2022-07-16T12:20:03.6483031+07:00[Asia/Bangkok]","0.0","34.49"
"Login - Admin","As a admin I login - invalid","SUCCESS","2022-07-16T12:20:38.176839+07:00[Asia/Bangkok]","0.0","42.31"
"Login - Admin","As a admin I login - Valid","SUCCESS","2022-07-16T12:21:20.4997008+07:00[Asia/Bangkok]","0.0","17.08"
"LogOut Acount - Admin","As a admin I  Logout - Yes","SUCCESS","2022-07-16T12:21:37.6069287+07:00[Asia/Bangkok]","0.0","32.04"
"LogOut Acount - Admin","As a admin I Logout - No","SUCCESS","2022-07-16T12:22:09.657879+07:00[Asia/Bangkok]","0.0","29.29"
"Add Data Dokter - Admin","As a admin i want to add data dokter - Valid","SUCCESS","2022-07-16T12:22:38.964766+07:00[Asia/Bangkok]","0.0","38.47"
"Add Data Dokter - Admin","As a admin i want to add data dokter - Kosong","FAILURE","2022-07-16T12:23:17.4592559+07:00[Asia/Bangkok]","0.0","176.46"
"Add Data Dokter - Admin","As a admin i want to add data dokter - Invalid","FAILURE","2022-07-16T12:26:13.9231746+07:00[Asia/Bangkok]","0.0","152.6"
"Add Data Pasien - Admin","As a admin i want to add data pasien (JK Laki-Laki) - Valid","SUCCESS","2022-07-16T12:28:46.5308677+07:00[Asia/Bangkok]","0.0","33.81"
"Add Data Pasien - Admin","As a admin i want to add data pasien (JK Laki-Laki) - Valid not Gender","FAILURE","2022-07-16T12:29:20.343916+07:00[Asia/Bangkok]","0.0","23.46"
"Add Data Pasien - Admin","As a admin i want to add data pasien (JK Laki-Laki) - Kosong","FAILURE","2022-07-16T12:29:43.8066881+07:00[Asia/Bangkok]","0.0","170.09"
"Add Data Pasien - Admin","As a admin i want to add data pasien (JK Laki-Laki) - Invalid","FAILURE","2022-07-16T12:32:33.9057096+07:00[Asia/Bangkok]","0.0","138.93"
"Add Kelola Jadwal - Admin","As a admin i want to Add Manage Schedule Rawat Jalan","SUCCESS","2022-07-16T12:34:52.8511881+07:00[Asia/Bangkok]","0.0","48.33"
"Add Kelola Jadwal - Admin","As a admin i want to Add Manage Schedule Rawat Biasa","ERROR","2022-07-16T12:35:41.1923957+07:00[Asia/Bangkok]","0.0","4.2"
"Add Kelola Jadwal - Admin","As a admin i want to Add Manage Schedule Rawat Biasa - tidak ada tanggal","FAILURE","2022-07-16T12:35:45.3969286+07:00[Asia/Bangkok]","0.0","45.34"
"Add Kelola Jadwal - Admin","As a admin i want to Add Manage Schedule Rawat Biasa - tidak ada perawat","SUCCESS","2022-07-16T12:36:30.7674858+07:00[Asia/Bangkok]","0.0","36.68"
"Add Kelola Jadwal - Admin","As a admin i want to Add Manage Schedule Rawat Biasa - tidak ada perawat & tanggal","SUCCESS","2022-07-16T12:37:07.4529982+07:00[Asia/Bangkok]","0.0","36.51"
"Delete Data Dokter - Admin","As a admin i want to delete data dokter - No","SUCCESS","2022-07-16T12:37:43.9781309+07:00[Asia/Bangkok]","0.0","30.57"
"Delete Data Dokter - Admin","As a admin i want to delete data dokter - Yes","SUCCESS","2022-07-16T12:38:14.5553369+07:00[Asia/Bangkok]","0.0","30.76"
"Delete Data Pasien - Admin","As a admin i want to delete data pasien - No","SUCCESS","2022-07-16T12:38:45.325245+07:00[Asia/Bangkok]","0.0","28.57"
"Delete Data Pasien - Admin","As a admin i want to delete data pasien - Yes","SUCCESS","2022-07-16T12:39:13.90165+07:00[Asia/Bangkok]","0.0","28.94"
"Detail Data Dokter - Admin","As a admin i want to detail data dokter","SUCCESS","2022-07-16T12:39:42.8471452+07:00[Asia/Bangkok]","0.0","25.66"
